file name,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,2021-04-04_09-16-33_nk_2eb8dcd5-8ca5-409f-ac9f-b3cfac1b61f2.metadata.json,2021-04-07_14-50-58_nk_88583d5d-09b1-4b9e-a834-adbb4ad62648.metadata.json,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,2021-04-17_09-45-46_nk_8f037fba-1bfa-4ca9-9082-42e031d1acb9.metadata.json,2021-04-20_12-42-42_nk_1e5f16ca-790f-41f9-80ac-81ac3a31f29c.metadata.json,2021-04-22_15-45-52_nk_38a79bca-7368-4f83-b065-e72a48fb8b73.metadata.json,2021-04-29_15-14-33_nk_a5bfb5a3-db6a-4d46-abcb-d679ca031ddc.metadata.json,2021-05-06_15-54-41_nk_78163270-1c4c-4c55-aab9-d36165982604.metadata.json,2021-05-11_15-43-56_nk_3c6ec96c-26cf-4fcc-8a7f-49883903e995.metadata.json,2021-05-20_16-08-36_nk_c0dd17d0-0d6e-43e8-9fcb-b02e9f93d064.metadata.json,2021-05-20_16-46-09_nk_379bc9f6-884f-4ffb-ad20-44556df92e49.metadata.json,2021-05-26_16-04-09_nk_ea515ad8-1a6f-4c2b-b0c9-feb7f22e57e5.metadata.json,2021-06-01_15-49-51_nk_de2eecdc-de25-417d-b4d7-a3960fa44f6a.metadata.json,2021-06-06_09-44-50_nk_2c4145f8-d15f-40a1-b91a-5e063144118a.metadata.json,2021-06-09_17-39-21_nk_69c65e39-fb63-45a0-ac3a-39633c190c18.metadata.json,2021-06-10_16-28-17_nk_f816c5db-d369-4cba-a99d-cf7a26d1d0fe.metadata.json,2021-06-11_06-23-01_nk_d18d1655-2344-4051-90e9-4dd553a0b726.metadata.json,2021-06-13_15-52-18_nk_e2e13322-827d-452c-8a89-42e2cdc5ed5f.metadata.json,2021-06-22_16-28-02_nk_7f751292-226f-4a1f-870d-e491004429d4.metadata.json,2021-06-27_16-40-45_nk_64941ea3-2374-4177-9d34-8cb55067561c.metadata.json,2021-06-29_16-17-41_nk_62dbc82e-a364-403c-b223-71f7771a4298.metadata.json,2021-07-13_15-22-34_nk_c87ff216-90ab-4abe-8898-a1e43be5d906.metadata.json,2021-07-16_06-34-15_nk_596a700b-a32f-464c-9dd5-c0cb5e204070.metadata.json,2021-07-18_15-48-25_nk_d7b057f1-5742-496e-9be9-763c43de2b5c.metadata.json,2021-07-21_12-41-51_nk_cabebefd-03b1-4c2e-a093-a12c8acd887f.metadata.json,2021-07-27_15-47-16_nk_a2f6e8e0-82f1-4b9a-88f7-706ed36f8bcf.metadata.json,2021-07-29_07-39-09_nk_9473c216-7c5e-4164-bd02-bf99605bff27.metadata.json,2021-08-01_09-39-05_nk_d34aafa5-fb30-41df-afd7-914cae850d28.metadata.json,2021-08-03_07-45-56_nk_b58e07c5-b2a4-42e2-8250-6229d5adf214.metadata.json,2021-08-03_16-23-20_nk_5a2c1487-3b46-4d37-bd35-6e5d3e741272.metadata.json,2021-08-05_09-03-45_nk_cb6e2985-ede9-4f78-bf54-694a96f15118.metadata.json,2021-08-08_16-04-16_nk_4ac50d44-2630-4991-a21d-0f5109f7a9c8.metadata.json,2021-08-10_12-18-15_nk_fa9ad9ce-bb72-419f-b901-d2ffedfcb2ab.metadata.json,2021-08-13_15-39-14_nk_f5074f11-46c2-4041-a74a-eb54e83b77d6.metadata.json,2021-08-17_07-50-12_nk_130ed366-af3b-4670-988c-80bc1179dd22.metadata.json,2021-08-19_13-45-31_nk_3a3c84ea-9179-4195-8ecd-5e10f36b11b1.metadata.json,2021-08-28_11-52-52_nk_77a0f9b8-b5f1-42b7-ae35-341d2c5cbcd5.metadata.json,2021-08-31_16-36-03_nk_b80640ff-0a7a-49af-992e-55d610e8508b.metadata.json,2021-09-04_13-40-10_nk_530868c2-407b-481b-b6c2-bf280f971426.metadata.json,2021-09-06_14-32-34_nk_11dc3192-6429-490e-bfb0-872c1a4d3821.metadata.json,2021-09-09_16-36-50_nk_07100ced-6e65-45fa-8040-c5f3f95b4c8e.metadata.json,2021-09-12_13-09-35_nk_c5910cf7-e2e1-410a-85e2-29d8f13a0519.metadata.json,2021-09-15_16-50-46_nk_2fa5d491-5aa4-4c6e-b0fb-08482421837f.metadata.json,2021-09-18_08-00-33_nk_10cd52ab-a86d-446c-9b4d-6c819652981a.metadata.json,2021-09-23_16-17-36_nk_a2490749-d937-4a17-84e9-231d2c2ecee3.metadata.json,2021-09-27_16-50-36_nk_b9e9f37a-0361-4dcb-bd4d-f723c055ecf8.metadata.json,2021-10-01_16-01-12_nk_c08f7870-ce41-484b-991a-88beaa96be45.metadata.json,2021-10-12_16-20-38_nk_486a998d-598a-4c06-af7a-3b5e9059e621.metadata.json,2021-10-15_15-57-16_nk_8efe0ce1-dd0f-478d-9276-62aaa749a735.metadata.json,2021-10-26_16-33-51_nk_8af6a0ea-53df-4e22-ad1b-9c1afb780275.metadata.json,2021-10-28_16-35-02_nk_65b3fafa-dfb1-464d-9819-fe9320c5212a.metadata.json,2021-10-31_10-59-27_nk_7d897e63-b969-40e2-9b0b-9c67e0dd686b.metadata.json,2021-11-07_12-59-20_nk_49dbdb2e-18a9-41a1-8f3e-c02e93419eb7.metadata.json,2021-11-09_16-26-39_nk_a08544e4-75ee-437b-9a3b-da10f2ac1e5b.metadata.json
run type,Stationary,Stationary,Stationary,Stationary,Outdoors/Mobile,Stationary,Stationary,Outdoors/Mobile,Stationary,Outdoors/Mobile,Stationary,Outdoors/Mobile,Outdoors/Mobile,Stationary,Stationary,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Stationary,Outdoors/Mobile,Stationary,Stationary,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Stationary,Outdoors/Mobile,Stationary,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile,Outdoors/Mobile
date,2021-03-21,2021-03-26,2021-03-29,2021-04-02,2021-04-04,2021-04-07,2021-04-09,2021-04-11,2021-04-13,2021-04-17,2021-04-20,2021-04-22,2021-04-29,2021-05-06,2021-05-11,2021-05-20,2021-05-20,2021-05-26,2021-06-01,2021-06-06,2021-06-09,2021-06-10,2021-06-11,2021-06-13,2021-06-22,2021-06-27,2021-06-29,2021-07-13,2021-07-16,2021-07-18,2021-07-21,2021-07-27,2021-07-29,2021-08-01,2021-08-03,2021-08-03,2021-08-05,2021-08-08,2021-08-10,2021-08-13,2021-08-17,2021-08-19,2021-08-28,2021-08-31,2021-09-04,2021-09-06,2021-09-09,2021-09-12,2021-09-15,2021-09-18,2021-09-23,2021-09-27,2021-10-01,2021-10-12,2021-10-15,2021-10-26,2021-10-28,2021-10-31,2021-11-07,2021-11-09
time,19:56:51,17:59:08,20:15:32,18:48:35,14:16:33,19:50:58,17:16:28,14:52:04,17:31:45,14:45:46,17:42:42,20:45:52,20:14:33,20:54:41,20:43:56,21:08:36,21:46:09,21:04:09,20:49:51,14:44:50,22:39:21,21:28:17,11:23:01,20:52:18,21:28:02,21:40:45,21:17:41,20:22:34,11:34:15,20:48:25,17:41:51,20:47:16,12:39:09,14:39:05,12:45:56,21:23:20,14:03:45,21:04:16,17:18:15,20:39:14,12:50:12,18:45:31,16:52:52,21:36:03,18:40:10,19:32:34,21:36:50,18:09:35,21:50:46,13:00:33,21:17:36,21:50:36,21:01:12,21:20:38,20:57:16,21:33:51,21:35:02,15:59:27,18:59:20,22:26:39
timeZone,unknown,unknown,unknown,unknown,America/Chicago,unknown,unknown,America/Chicago,unknown,America/Chicago,unknown,America/Chicago,America/Chicago,unknown,unknown,America/Chicago,America/Chicago,America/Chicago,America/Chicago,unknown,America/Chicago,unknown,unknown,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,unknown,America/Chicago,unknown,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago,America/Chicago
duration(sec),1515.275,1561.158,679.014,1253.344,2384.91,1241.564,1236.495,2332.084,1249.849,2287.473,1194.855,2150.331,2418.418,1212.915,561.634,2023.542,155.487,2295.861,2248.354,1911.774,467.087,389.195,1906.971,2312.845,2309.716,2366.644,2479.725,2483.749,589.339,1422.353,1053.876,2478.455,1295.407,2264.639,1244.588,1313.642,1843.551,2315.893,2173.041,2361.938,1406.647,2541.637,2701.657,1257.247,1498.465,1614.537,1953.185,1890.667,2203.408,4208.201,2223.914,1081.808,2468.161,2046.928,2293.945,1536.832,1493.978,1429.382,2533.474,1410.919
distance (km),3.8206587313547513,3.956061111204555,1.710498937611117,3.236084934840092,5.643341195542941,2.910208673517446,2.831530663167819,5.637356888127166,3.06799721251533,5.656638061425298,2.961934669004983,5.42498531899823,5.643683503976327,2.839477033577039,1.4298268088438781,4.834134112408735,0.41982254444714656,5.63531855000137,5.481430032430914,4.5659376990643725,1.143948173117624,0.9095616440658929,4.538644717914514,5.570371307641966,5.618948065278122,5.632022524152884,5.567572924215334,5.554167416286889,1.3605501279050949,3.603298362625297,2.464040258722846,5.877699570001566,3.258739185488082,5.635837922715812,3.151680850334468,3.2014466981431493,4.4081086468307795,5.60067356428806,5.134591488357638,5.725946324530287,3.4453234488703286,5.379581557542322,6.444852950168783,3.221381298026537,3.682279927087714,4.028301766362974,4.85058813032997,4.830039362669227,5.584090830354248,9.933471274789417,5.616186744749082,2.681446918518513,5.665957595886888,4.8331703811306514,5.566412994973595,3.9012369849723743,3.7641215068213643,3.614796988448828,6.4418637543714095,3.707668579078751
distance (miles),2.374047262485792,2.4581824003818964,1.0628547603571554,2.0108099469026604,3.5066096342505397,1.808319826611857,1.759431577694077,3.5028911580302737,1.9063650788573332,3.51487192362713,1.840460869981882,3.3709295833984596,3.5068223348491396,1.7643692233314345,0.888453185705223,3.0037916660470096,0.26086563403195134,3.501624593443425,3.406002702153336,2.8371421415334908,0.710816437628424,0.5651754011515803,2.8201830693577556,3.4612682481713444,3.491452445870064,3.499576537939681,3.4595294133314614,3.4511996169174095,0.8454066520310409,2.238985791509532,1.5310836277705226,3.652233176274361,2.0248866455863603,3.501947316685052,1.9583636804725402,1.9892867445467795,2.739071715530531,3.480097197443213,3.1904872232846566,3.5579380815495103,2.14082473135946,3.3427169941121258,4.004645947021387,2.001673530598494,2.288062660207606,2.503070662244063,3.0140157187430083,3.001247306528619,3.4697931643253073,6.172372866846716,3.4897366408469632,1.6661738626816813,3.5206628138457745,3.003192831195906,3.4588086667182063,2.4241162678242962,2.338916659998184,2.2461307063208644,4.00278854687163,2.3038384371077725
avg speed (meters/second),2.521429266208939,2.534055560810985,2.519092297966047,2.581960686643166,2.366270087987782,2.343986031744997,2.289965315806226,2.417304388747218,2.454694297083352,2.472876428016985,2.478907205480986,2.522860582393236,2.333626157255002,2.34103546709954,2.545833779372114,2.388946763847124,2.70004916454203,2.45455563294179,2.43797463941662,2.388325031653518,2.449111564050432,2.337033220020537,2.380028179722982,2.408449899427747,2.432744140525555,2.379750619084613,2.245238050273854,2.236203181676929,2.308603584533002,2.533336213039447,2.338074174497613,2.371517566387756,2.515610295056366,2.488625305276387,2.532308563423774,2.437076995211137,2.39109666444312,2.418364563599467,2.362859922273734,2.424257675066105,2.449316316652528,2.116581383392798,2.385518572553356,2.562250137026803,2.457367991302909,2.495019789799165,2.483424831918108,2.55467481194162,2.534297247878853,2.360503045075418,2.525361477444308,2.478671740751143,2.295619125286757,2.361182406577394,2.426567766434502,2.538492811818321,2.519529408613356,2.528922981014752,2.542699768922597,2.627839428825292
avg speed (MPH),5.640276628250846,5.6685208448543944,5.635048979179744,5.775681559305416,5.2931954317613625,5.243347417663476,5.122506517768258,5.40735591116492,5.490994754001791,5.531667022516766,5.545157487482904,5.6434783913659645,5.220173038456961,5.2367471925320626,5.694867969385335,5.343921710927692,6.039837960948248,5.49068457115141,5.453593945010702,5.342530935621153,5.478506535883071,5.227794420799493,5.323971406444981,5.387548982676778,5.441893652226474,5.323350520980338,5.0224544743464286,5.0022440489065865,5.164199137465955,5.66691170971911,5.230122969645503,5.304933706625256,5.6272599605091935,5.566896257585079,5.664612923000407,5.451585972111948,5.348730901590768,5.409727454765661,5.285567108320695,5.4229099696663985,5.4789645544091705,4.734657707249753,5.3362530654136,5.731590315572729,5.496975637629882,5.581200312069924,5.555263130004766,5.714644795981135,5.669061483427332,5.280294924184709,5.649072734263188,5.544630767883704,5.1351537293720035,5.281814612582507,5.428077496881581,5.678446692660544,5.6360267678494544,5.65703959084688,5.687857387677571,5.8783093826321675
max speed (meters/second),2.736123453425147,2.717318413374548,2.701583556068619,3.997747606357115,2.879881133642659,2.59722133809197,2.467279346521906,3.005923151352555,2.641482411730403,3.110100388614563,3.166771150807605,2.978912058674696,2.848401537614533,2.473991511435467,2.720545624949615,2.895821873734059,3.031866586911037,3.038386691497735,2.934192170924565,2.514647925959557,3.967780949423886,2.437074777658961,2.623932767735266,3.10152172082657,2.957127997775336,3.118465438057991,3.000621999432581,2.837302592216796,2.504875437918144,3.007935811038518,2.852862505358124,2.773219726862001,2.812659521889248,2.855085073956857,3.228627204043543,2.671594134811091,2.742557751197235,3.138173761595958,2.950709632349927,3.603855194159536,3.22465297526998,2.752505359120383,3.230795775148946,2.819032108920699,3.020077313551927,2.996356596114783,2.852168069842199,2.836805650210555,3.532643612369269,3.097107931438666,3.021732093645584,2.778815859712652,3.015770118737964,2.915201921169138,3.648264119455754,2.952044309329737,2.92366707337498,3.365036472720048,3.206520469914699,4.120568268666159
max speed (MPH),6.120533846886836,6.078468170362748,6.043270297037144,8.942706698920865,6.442110618731603,5.809818664340288,5.519146707802337,6.724058582211693,5.90882786619646,6.957096424835019,7.083865309366594,6.663636488768037,6.371692767981749,5.534161393081947,6.085687237050523,6.477769038731514,6.782092394699738,6.796677453264318,6.563600948975043,5.625107202152167,8.875673196536946,5.4515810115890115,5.8695704306671574,6.937906491540203,6.614906932398688,6.975808507502667,6.7122002431031,6.346865134240822,5.603246769008739,6.728560773702643,6.3816716686159065,6.203515847161498,6.291740155928108,6.386643412971427,7.222233359606236,5.976185872310082,6.134926961073886,7.019894771639807,6.6005494578561095,8.061594467720463,7.213343263037891,6.157179126235867,7.227084315009358,6.305995227119944,6.755720541290015,6.702658807630031,6.38011826060927,6.345753506633037,7.90229869614551,6.928033125881984,6.759422178933485,6.216034039818781,6.746085620902561,6.521120970140964,8.160934404315471,6.603535045227674,6.540056976310585,7.52737220300107,7.172782003780044,9.217448695601801
calories,320,318,132,243,486,220,213,488,229,494,222,416,484,213,107,418,38,491,478,346,103,68,343,449,448,486,469,467,102,317,216,515,287,497,278,281,384,485,446,464,271,470,559,286,324,354,425,427,490,865,493,235,482,415,483,343,330,318,568,328
avg HR,152,148,142,145,147,141,152,158,151,156,157,157,154,144,148,161,155,157,154,149,142,152,149,148,159,151,157,156,150,158,153,0,157,0,0,0,0,0,0,154,153,152,135,145,142,146,155,155,161,148,150,162,152,148,149,158,169,0,141,153
max HR,168,162,181,153,188,157,163,177,173,170,178,167,178,155,163,171,166,175,185,156,158,155,164,161,187,171,185,165,158,185,158,0,168,0,0,0,0,0,0,170,170,163,150,178,146,157,190,185,185,159,171,191,163,190,177,190,190,0,143,167
elevation gain,0,0,0,0,72,0,0,61,0,66,0,24,83,0,0,47,6,65,51,0,20,0,0,62,56,58,57,58,0,24,0,55,26,46,25,28,36,58,66,60,31,57,42,33,42,44,52,32,66,55,62,24,60,54,65,54,44,55,62,43
elevation loss,0,0,0,0,84,0,0,78,0,81,0,21,95,0,0,60,5,70,47,0,6,0,0,80,70,73,74,74,0,28,0,51,43,47,41,27,35,72,70,77,44,71,46,34,39,38,63,30,79,55,75,35,74,67,83,71,62,74,58,60
min elevation,0,0,0,0,393,0,0,390,0,391,0,410,390,0,0,394,400,390,412,0,399,0,0,393,392,394,394,395,0,185,0,413,394,414,395,410,414,393,386,390,393,394,411,409,410,405,393,411,391,183,390,398,391,391,389,385,388,390,188,389
max elevation,0,0,0,0,421,0,0,421,0,420,0,431,420,0,0,420,406,422,431,0,414,0,0,423,423,425,423,421,0,202,0,434,419,433,420,430,435,421,419,419,419,425,432,425,429,432,420,428,421,209,420,414,419,413,417,415,416,416,215,413
avg cadence,88,87,85,87,85,86,85,85,86,85,86,87,84,85,86,86,86,86,84,87,82,86,87,87,87,84,84,83,86,85,86,86,88,88,88,87,87,86,84,89,89,84,87,86,85,86,87,85,86,87,87,87,85,86,87,87,85,85,87,86
max cadence,105,108,93,1935,172,131,105,789,128,105,111,128,105,140,105,105,105,93,105,152,94,540,105,117,105,110,107,105,93,340,152,264,282,147,205,165,105,105,105,105,105,105,126,608,4615,105,115,105,105,154,105,105,105,105,105,260,105,105,166,105
steps,4420,4507,1914,3629,6762,3546,3503,6644,3594,6506,3419,6262,6795,3432,1608,5768,446,6573,6292,5557,1282,1119,5503,6672,6671,6596,6973,6883,1687,4046,3030,7074,3789,6620,3641,3829,5332,6646,6056,6980,4155,7134,7792,3599,4248,4651,5694,5364,6351,12142,6417,3129,7007,5852,6637,4464,4247,4070,7348,4056
